
2023/06/10 (09:27:49) | DEBUG: Loading theme file: /usr/local/share/btop/themes/tokyo-storm.theme
2023/06/10 (09:27:50) | DEBUG: Loading theme file: /usr/local/share/btop/themes/tokyo-night.theme
2023/06/10 (09:27:50) | DEBUG: Loading theme file: /usr/local/share/btop/themes/solarized_light.theme
2023/06/10 (09:27:50) | DEBUG: Loading theme file: /usr/local/share/btop/themes/solarized_dark.theme
2023/06/10 (09:27:58) | DEBUG: Loading theme file: /usr/local/share/btop/themes/solarized_dark.theme
2023/06/10 (09:28:04) | DEBUG: Loading theme file: /usr/local/share/btop/themes/paper.theme
2023/06/10 (09:28:08) | DEBUG: Loading theme file: /usr/local/share/btop/themes/onedark.theme
2023/06/10 (09:28:13) | DEBUG: Loading theme file: /usr/local/share/btop/themes/nord.theme
2023/06/10 (09:28:16) | DEBUG: Loading theme file: /usr/local/share/btop/themes/night-owl.theme
2023/06/10 (09:28:20) | DEBUG: Loading theme file: /usr/local/share/btop/themes/monokai.theme
2023/06/10 (09:28:23) | DEBUG: Loading theme file: /usr/local/share/btop/themes/matcha-dark-sea.theme
2023/06/10 (09:28:25) | DEBUG: Loading theme file: /usr/local/share/btop/themes/kyli0x.theme
2023/06/10 (09:28:27) | DEBUG: Loading theme file: /usr/local/share/btop/themes/gruvbox_material_dark.theme
2023/06/10 (09:28:30) | DEBUG: Loading theme file: /usr/local/share/btop/themes/gruvbox_dark_v2.theme
2023/06/10 (09:28:32) | DEBUG: Loading theme file: /usr/local/share/btop/themes/gruvbox_dark.theme
2023/06/10 (09:29:54) | DEBUG: Loading theme file: /usr/local/share/btop/themes/gruvbox_dark_v2.theme
2023/06/10 (09:29:55) | DEBUG: Loading theme file: /usr/local/share/btop/themes/gruvbox_dark.theme
2023/06/10 (09:29:55) | DEBUG: Loading theme file: /usr/local/share/btop/themes/greyscale.theme
2023/06/10 (09:29:58) | DEBUG: Loading theme file: /usr/local/share/btop/themes/flat-remix.theme
2023/06/10 (09:30:00) | DEBUG: Loading theme file: /usr/local/share/btop/themes/flat-remix-light.theme
2023/06/10 (09:30:02) | DEBUG: Loading theme file: /usr/local/share/btop/themes/everforest-dark-hard.theme
2023/06/10 (09:30:04) | DEBUG: Loading theme file: /usr/local/share/btop/themes/elementarish.theme
2023/06/10 (09:30:07) | DEBUG: Loading theme file: /usr/local/share/btop/themes/dusklight.theme
2023/06/10 (09:30:09) | DEBUG: Loading theme file: /usr/local/share/btop/themes/dracula.theme
2023/06/10 (09:30:31) | DEBUG: Loading theme file: /usr/local/share/btop/themes/ayu.theme
2023/06/10 (09:30:33) | DEBUG: Loading theme file: /usr/local/share/btop/themes/adapta.theme
